124,א דהאבשה,"E-Dahabshe, Arad, Israel",נגב 299,דקה וחצי,31.226043,35.147482
122,א דיראת,al Dayrat,יהודה 207,דקה וחצי,31.443874,35.15969
205,א דנפירי,"E-Danfiri, Israel",נגב 300,דקה,31.1277,34.813964
179,א זיאדנה דרומית לרהט,"E-Ziyadna (South to Rahat), Rahat, Israel",באר שבע 286,45 שניות,31.367093,34.740095
179,א זיאדנה צפונית לרהט,"E-Ziyadna (North to Rahat), Israel",באר שבע 286,45 שניות,31.414435,34.77579
96,א זעיים,alZa'im,ירושלים 194,דקה וחצי,31.787701,35.263531
122,א טבקה,alTabqa,יהודה 207,דקה וחצי,31.49649,35.016446
122,א טוואני,alTawani,יהודה 207,דקה וחצי,31.413761,35.152657
92,א לובאן,alLuban,שומרון 123,דקה וחצי,32.035776,35.038365
199,א נבארי,"E-Nabari, Hura, Israel",נגב 296,דקה וחצי,31.282467,34.941101
141,א נוואקיר,"al-Nawaqir, Israel",קו העימות 15,מיידי,33.090788,35.213638
59,א סלבה,al-Saliba,קצרין 7,15 שניות,32.929395,35.71276599999999
90,א ראם,al-Ram,שומרון 126,דקה וחצי,31.849252,35.233489
165,א ראס,al-Ra's,שומרון 120,דקה וחצי,32.251748,35.062921
122,א ריחייה,al-Rayhiyya,יהודה 207,דקה וחצי,31.470478,35.078903
158,א שהאדה,alShahada,שומרון 119,דקה וחצי,32.429988,35.271843
85,א שויוח,alShuyukh,יהודה 206,דקה וחצי,31.574996,35.149421
171,א שייח' אחמד,alShaykh Ahmad,שומרון 121,דקה וחצי,32.148946,35.001112
165,א.ת בראון,"Arie Braun Street, Petah Tikva, Israel",שומרון 120,דקה וחצי,32.1034026,34.8780439
82,א.ת תנובות,"Tnuvot, Israel",עמק חפר 150,דקה וחצי,32.305863,34.962586
242,אבו ג'אבר,"Abu Jaber, Laqiya, Israel",נגב 287,דקה וחצי,31.31525999999999,34.868677
124,אבו ג'ווייעד,"Abu Jwei'ad, Israel",נגב 299,דקה וחצי,31.180663,35.072843
124,אבו ג'ויעד,"Abu Jwei'ed, Israel",נגב 299,דקה וחצי,31.244839,35.016059
87,אבו גוש,"Abu Ghosh, Israel",בית שמש 189,דקה וחצי,31.806293,35.109193
75,אבו דיאב,"Abu Diyab, Israel",גליל תחתון 63,דקה,32.76924400000001,35.17954400000001
96,אבו דיס,Abu Dis,ירושלים 194,דקה וחצי,31.763582,35.257722
242,אבו טראש,"Abu Tarash, Omer, Israel, Israel",נגב 287,דקה וחצי,31.289045,34.854024
242,אבו כף אום בטין,אבו כף ב,נגב 287,דקה וחצי,31.289039,34.878319
95,אבו נוג'ים,Abu Nujaym,יהודה 200,דקה וחצי,31.66192,35.199291
171,אבו סלמאן,Abu Salman,שומרון 121,דקה וחצי,32.140361,34.998989
68,אבו סנאן,"Abu Snan, Israel",גליל עליון 38,30 שניות,32.95803,35.171969
242,אבו סריחאן,"Abu Sarikhan, Israel",נגב 287,דקה וחצי,31.254333,34.881407
242,אבו עבדון,"Abu 'Abdun, Laqiya, Israel",נגב 287,דקה וחצי,31.32427199999999,34.874118
242,אבו עמאר,"Abu Ammar, Israel",נגב 287,דקה וחצי,31.138356,34.954032
242,אבו עסא,"Abu Isa, Israel",נגב 287,דקה וחצי,31.250246,34.873389
205,אבו עפאש,"Abu Afash, Israel",נגב 300,דקה,31.15986,34.808983
207,אבו קוידר,"Abu Queider, Israel",נגב 297,דקה וחצי,31.206836,34.923483
124,אבו קורינאת,"Abu Qrenat, Israel",נגב 299,דקה וחצי,31.103115,34.952003
90,אבו קש,Abu Qash,שומרון 126,דקה וחצי,31.950733,35.184719
124,אבו רביעה,"Abu Rbei'a, Kuseife, Israel",נגב 299,דקה וחצי,31.230811,35.064209
124,אבו רביעה צפונית לכסיפה,"Abu Rbei'a (North to Kseifa), Israel",נגב 299,דקה וחצי,31.282016,35.039105
242,אבו ריקייק,"",נגב 287,דקה וחצי,0,0
90,אבו שחידם,Abu Shukhaydam,שומרון 126,דקה וחצי,31.966531,35.170814
207,אבו תלול,"Abu Tulul, Israel",נגב 297,דקה וחצי,31.142612,34.913514
134,אבטין,"Ibtin, Israel",הקריות 71,דקה,32.759963,35.114601
71,אבטליון,"Avtalion, Israel",גליל תחתון 60,דקה,32.835781,35.350442
181,אביאל,"Aviel, Israel",מנשה 104,דקה וחצי,32.531346,34.993493
58,אביבים,"Avivim, Israel",קו העימות 22,מיידי,33.089381,35.470338
234,אביגדור,"Avigdor, Israel",אשדוד 275,45 שניות,31.711901,34.740369
175,אביחיל,"Avihayil, Israel",שרון 138,דקה וחצי,32.350708,34.871229
236,אביטל,"Avital, Israel",עמק יזרעאל 93,דקה,32.557676,35.306412
99,אביעזר,"Aviezer, Israel",בית שמש 188,דקה וחצי,31.681996,35.018821
74,אבירים,"Abirim, Israel",קו העימות 17,מיידי,33.038086,35.286044
237,אבן יהודה,"Even Yehuda, Israel",שרון 142,דקה וחצי,32.276648,34.885087
132,אבן מנחם,"Even Menachem, Israel",קו העימות 16,מיידי,33.075143,35.295219
86,אבן ספיר,"Even Sapir, Israel",בית שמש 191,דקה וחצי,31.7625,35.134991
235,אבן שמואל,"Even Shmuel, Israel",אשדוד 281,30 שניות,31.576429,34.762963
46,אבני איתן,Avnei Eitan,גולן 2,מיידי,32.824808,35.765777
165,אבני חפץ,Avnei Hefets,שומרון 120,דקה וחצי,32.284628,35.074551
